age,education,capital-gain,capital-loss,hours-per-week,income
29,9,0,0,34,0
35,12,0,0,40,0
35,9,0,0,40,0
29,6,0,0,40,0
20,10,0,0,33,0
46,13,0,0,40,0
23,13,0,0,5,0
60,14,0,0,40,0
25,13,0,0,40,0
27,11,0,0,40,0
24,13,0,0,30,0
81,10,0,0,20,0
30,13,0,0,40,1
43,10,0,0,50,0
50,9,0,0,40,0
60,13,7298,0,48,1
57,4,0,0,40,0
20,10,0,0,20,0
41,12,0,0,40,0
42,10,0,0,40,0
38,6,0,0,40,0
31,10,0,0,40,0
31,9,0,0,38,0
61,9,0,0,38,1
47,10,0,0,40,0
32,11,0,0,46,0
20,9,0,0,40,0
52,9,0,0,35,0
43,13,15024,0,50,1
44,10,0,0,45,1
21,10,0,0,40,0
72,10,0,0,4,0
37,15,0,0,50,1
21,10,0,0,40,0
44,7,0,0,40,1
70,9,0,0,30,0
38,10,0,0,45,0
61,9,3471,0,40,0
54,10,0,0,40,0
53,13,0,0,40,0
44,13,0,0,40,1
57,16,0,0,40,1
26,13,0,0,50,0
22,10,0,0,20,0
58,13,0,0,60,1
74,9,0,0,17,0
53,14,0,0,70,1
45,14,25236,0,42,1
60,5,0,0,45,0
32,13,0,0,50,1
36,11,0,0,45,0
36,9,0,0,50,0
50,9,0,0,40,0
42,11,0,0,60,0
25,13,0,0,15,0
56,13,0,0,20,1
23,13,0,0,40,0
25,9,0,0,40,0
65,16,99999,0,40,1
24,10,0,0,50,0
46,7,0,0,40,0
30,9,99999,0,40,1
52,9,0,0,44,0
76,10,0,0,20,0
24,9,0,0,40,0
35,9,0,0,50,0
26,6,0,0,40,0
48,10,0,1902,40,1
44,13,15024,0,60,1
54,6,0,0,45,1
65,9,0,0,25,0
35,10,0,0,40,1
36,10,0,0,50,0
21,7,0,0,38,0
38,10,0,0,40,0
38,9,0,0,55,0
26,9,0,0,40,0
35,9,0,0,55,0
70,6,0,0,32,0
46,9,7688,0,40,1
32,10,0,0,60,0
42,10,0,0,37,1
33,9,0,0,40,0
59,10,0,0,40,1
38,13,1151,0,40,0
40,10,0,0,40,0
28,12,0,0,35,0
49,9,0,0,40,1
46,9,0,0,50,0
54,10,0,0,40,0
22,10,0,0,6,0
41,9,0,0,25,0
56,10,0,0,50,1
32,9,0,0,80,1
46,11,0,0,63,0
45,9,0,0,19,0
29,9,0,0,25,0
61,16,0,1902,40,1
60,4,0,0,40,0
61,3,0,0,40,0
52,7,0,0,40,0
49,10,0,0,32,0
36,10,0,0,40,0
30,13,0,0,70,0
24,11,0,0,20,0
45,2,0,0,40,0
53,13,0,2415,40,1
20,9,0,0,35,0
55,9,0,0,40,0
24,13,0,0,40,0
38,10,0,0,40,0
44,10,0,0,55,1
23,12,0,0,40,0
30,9,5013,0,40,0
34,9,0,0,40,0
60,10,0,0,40,1
29,13,0,0,50,0
34,13,0,0,40,0
42,13,0,653,50,1
31,10,0,0,60,0
52,9,0,0,40,0
27,13,0,0,50,0
26,10,0,0,40,0
18,9,0,0,20,0
84,9,0,0,16,0
25,14,0,0,40,0
36,9,0,0,50,0
29,9,0,0,25,0
44,9,3103,0,40,1
27,13,0,0,45,1
18,9,0,0,40,0
51,10,0,0,40,0
31,9,0,0,40,0
20,10,0,0,15,0
58,9,0,0,20,0
26,10,2174,0,75,0
45,14,0,0,40,0
31,9,0,0,45,0
39,13,0,0,35,0
33,13,0,0,40,0
45,5,0,0,15,0
54,16,0,1977,50,1
41,14,0,0,45,0
48,5,0,0,20,0
52,9,0,323,40,0
30,12,0,0,25,1
41,15,99999,0,65,1
46,7,0,0,30,0
34,9,0,0,40,0
35,12,0,0,40,0
20,9,0,0,45,0
20,10,0,0,9,0
32,13,7688,0,40,1
18,10,0,0,20,0
44,10,0,0,40,0
26,10,0,0,3,0
37,9,0,0,40,0
49,10,0,1902,50,1
37,9,0,0,30,0
58,9,0,0,52,0
72,9,0,0,12,0
45,11,0,0,76,0
19,7,0,0,40,0
30,13,0,0,45,0
54,9,0,0,40,0
54,10,0,0,40,0
35,5,0,0,46,0
46,13,8614,0,40,1
29,13,0,0,42,0
72,9,0,0,8,0
34,7,0,0,8,0
25,9,0,0,40,0
45,9,0,0,45,0
49,10,0,1848,44,1
22,9,0,0,20,0
41,9,0,0,40,0
34,10,0,1504,60,0
53,13,0,0,40,0
23,9,0,0,40,0
25,13,0,0,40,0
27,10,0,0,34,0
42,10,0,0,40,1
35,13,0,0,40,0
26,9,0,0,44,0
43,9,0,0,40,1
44,10,0,0,40,0
53,12,2407,0,99,0
45,7,0,0,40,0
55,13,15024,0,48,1
62,13,0,0,55,1
17,7,0,0,25,0
33,9,0,0,41,0
45,9,5455,0,40,0
31,13,0,1902,35,1
48,9,0,0,40,0
25,13,0,0,40,0
28,14,0,0,38,1
24,10,0,0,40,0
20,9,0,0,40,0
42,9,0,0,40,0
46,9,0,0,37,0
65,10,0,0,40,0
44,9,0,0,33,0
44,6,0,0,30,0
17,6,0,0,20,0
27,3,0,0,40,0
72,9,0,0,55,0
39,15,0,2415,67,1
24,10,99999,0,50,1
60,10,0,0,40,0
48,7,0,0,40,0
55,10,0,0,37,0
61,13,0,0,40,0
17,7,0,0,25,0
55,10,0,0,40,0
34,9,0,1485,40,0
46,5,0,0,43,0
55,9,3103,0,40,1
36,9,0,1977,40,1
22,9,0,0,40,0
50,9,0,0,40,0
28,8,0,0,50,0
53,13,0,0,38,0
49,10,0,0,40,0
33,13,0,0,25,1
25,14,0,0,40,0
67,11,0,0,40,0
32,9,0,0,40,0
34,9,0,0,35,0
21,9,0,0,40,0
29,13,0,0,50,1
24,9,0,0,45,1
25,9,0,0,40,0
23,10,0,0,15,0
37,10,2354,0,40,0
25,13,0,0,40,0
24,9,0,0,40,0
31,3,0,0,45,0
26,14,0,0,25,0
71,9,6767,0,20,0
45,10,0,0,40,1
18,9,0,0,25,0
22,9,0,0,55,0
53,10,7688,0,40,1
17,6,1055,0,30,0
49,13,0,0,40,1
21,10,0,0,40,0
58,9,0,0,40,0
27,9,0,0,60,0
26,9,0,0,30,0
19,9,0,0,53,0
26,11,0,0,40,0
47,14,0,0,38,0
55,10,0,0,40,0
56,9,0,0,40,0
63,10,0,0,60,1
39,13,0,0,60,1
43,10,0,0,45,0
47,7,0,0,40,0
45,9,0,0,40,0
23,10,0,0,40,0
47,9,0,0,14,0
63,5,0,0,20,0
42,16,15024,0,40,1
50,16,0,0,40,1
44,13,0,0,60,0
57,14,0,0,40,0
44,13,0,0,40,1
50,9,0,2444,72,1
42,9,0,0,48,0
37,9,0,0,48,0
42,14,0,0,40,0
34,13,0,0,40,0
35,10,5013,0,40,0
48,13,0,0,40,0
61,15,15024,0,20,1
26,13,0,0,40,0
55,6,0,0,40,0
50,16,15024,0,60,1
37,10,0,0,40,0
47,10,0,0,40,1
23,11,0,0,50,0
30,9,0,0,35,0
30,10,0,0,40,0
25,9,0,0,40,0
27,9,0,0,40,0
24,10,0,0,35,0
27,9,0,0,40,0
76,9,0,0,6,0
30,10,0,0,40,0
27,9,0,0,45,0
20,10,0,0,35,0
44,9,0,0,40,0
24,9,0,0,40,0
52,9,0,0,40,0
55,4,0,0,40,0
34,11,0,0,32,1
47,10,0,0,40,0
22,13,0,0,50,0
43,10,0,0,45,0
65,13,99999,0,65,1
51,7,0,0,40,1
31,12,0,0,40,1
31,13,0,0,55,0
31,6,0,1741,40,0
36,9,0,0,40,1
56,4,0,0,20,0
28,7,0,0,40,0
51,16,0,0,40,1
47,10,0,0,30,0
36,11,0,0,40,1
25,7,0,0,40,0
32,9,0,0,50,0
32,10,0,0,60,0
25,9,0,0,40,0
36,13,7298,0,40,1
23,10,0,0,35,0
34,14,4650,0,30,0
17,7,0,0,15,0
32,9,0,0,35,0
39,13,15024,0,99,1
69,13,99999,0,40,1
19,9,2176,0,45,0
43,9,0,0,40,0
30,11,0,0,24,0
25,9,0,0,40,0
40,9,0,0,46,0
24,4,0,0,50,0
32,9,0,1902,50,1
46,13,0,1408,40,0
34,9,0,0,65,1
57,3,7298,0,84,1
23,2,0,0,40,0
59,10,0,0,40,0
19,10,0,0,35,0
57,9,0,0,40,0
38,14,0,1977,60,1
31,13,3325,0,60,0
23,9,0,0,50,0
33,13,0,0,40,1
61,9,0,1669,50,0
32,10,0,0,40,0
40,9,0,0,30,0
57,13,0,0,40,1
41,9,13550,0,44,1
49,9,0,0,40,0
21,9,0,0,10,0
57,10,0,0,25,1
29,13,0,0,40,1
50,13,0,0,65,1
51,10,0,0,63,0
33,9,0,0,40,0
38,13,0,0,70,0
38,10,0,0,40,0
29,9,0,0,40,0
62,16,0,0,40,1
29,9,0,0,40,0
32,9,0,0,40,0
46,9,0,1902,40,1
34,9,0,0,52,0
57,9,0,1719,25,0
22,7,0,0,45,0
47,12,0,0,35,1
39,9,0,0,40,0
33,10,0,0,40,0
32,8,0,0,40,0
34,10,0,0,40,0
26,9,0,0,41,0
19,10,0,0,35,0
48,14,0,0,40,1
33,15,0,0,40,1
27,13,0,0,40,0
26,13,0,0,40,0
52,14,0,0,45,0
33,13,0,0,40,0
23,12,0,0,40,0
48,9,0,0,50,0
43,9,0,0,40,0
23,9,0,0,20,0
46,10,0,0,40,0
25,6,0,0,40,0
38,13,0,0,35,0
22,9,0,0,20,0
90,7,0,0,40,0
32,9,0,0,40,0
69,13,20051,0,45,1
41,9,0,0,40,0
71,15,0,0,16,0
28,13,0,0,45,0
18,7,0,0,30,0
51,9,0,0,40,0
54,9,0,0,20,0
28,14,0,0,30,0
37,11,0,0,30,0
22,9,0,0,40,0
18,6,0,0,36,0
45,10,0,0,35,0
45,9,0,0,7,0
34,10,0,0,50,1
42,14,0,0,35,1
78,4,0,0,25,0
35,13,0,0,40,1
31,13,0,0,36,0
56,9,0,0,40,0
40,9,0,0,40,0
45,13,0,0,40,0
26,14,0,0,40,0
33,11,0,0,40,0
29,11,0,0,40,0
26,10,0,0,55,0
60,3,0,0,40,0
64,5,0,0,40,0
57,9,0,0,50,0
38,4,0,0,35,1
23,9,0,0,40,0
21,10,0,0,40,0
43,16,25236,0,64,1
33,9,0,0,40,0
38,13,0,1977,40,1
21,12,0,0,8,0
38,11,0,0,20,0
30,12,0,0,40,0
30,9,0,0,40,0
45,10,0,0,40,1
29,13,0,0,52,1
26,9,0,0,60,0
32,9,0,0,40,0
38,13,0,0,60,1
22,10,0,0,40,0
19,9,0,0,40,0
27,9,0,0,50,0
50,14,0,1590,45,0
22,5,0,0,40,0
33,13,0,1902,55,1
35,13,0,0,42,0
49,9,0,0,40,1
41,11,0,0,60,0
43,16,0,0,24,1
69,10,2050,0,24,0
51,10,0,0,35,0
28,12,0,0,40,0
22,10,0,0,10,0
28,9,0,0,60,0
31,11,0,0,24,0
33,10,0,0,40,0
32,13,0,0,40,0
50,10,0,0,70,0
21,10,0,0,10,0
59,10,0,0,40,0
44,9,0,0,40,0
33,10,0,0,50,0
27,9,0,0,37,0
43,13,0,0,40,0
42,13,0,0,45,1
39,9,0,0,40,0
38,13,15024,0,40,1
58,9,0,0,12,0
37,10,3464,0,40,0
70,13,0,0,55,0
40,10,0,0,40,0
19,10,0,0,60,0
37,9,0,0,40,0
57,14,0,0,40,1
60,13,0,0,45,1
22,9,0,0,25,0
34,9,0,0,40,1
35,5,0,0,40,0
38,13,3325,0,40,0
42,14,0,0,45,1
37,11,0,0,42,1
52,9,0,0,50,0
33,7,0,0,40,1
40,10,0,0,48,1
27,15,0,0,12,0
48,3,0,0,35,0
30,9,0,0,36,0
48,9,0,0,40,0
39,14,0,0,32,0
32,13,0,0,40,1
22,10,0,0,45,0
22,10,0,0,40,0
53,1,0,0,35,0
29,10,0,0,40,0
42,9,0,0,30,0
38,10,0,0,58,0
57,10,7688,0,45,1
44,13,0,0,50,1
43,11,0,0,40,0
54,10,0,0,44,1
21,9,0,0,65,0
40,13,0,0,45,0
45,9,0,0,60,0
47,14,0,0,38,1
40,10,0,0,40,0
26,9,0,0,40,0
27,10,0,0,40,0
51,9,0,0,70,0
51,9,0,0,40,0
58,13,0,0,60,0
23,9,0,0,40,0
18,3,0,0,40,0
51,14,0,0,80,1
25,10,0,0,45,0
35,13,0,0,40,0
47,10,0,0,56,1
37,14,0,0,60,1
32,13,0,0,60,1
36,9,0,0,40,0
35,12,0,0,40,0
26,13,0,0,40,0
56,9,0,0,40,0
36,9,0,0,44,1
35,13,0,0,40,0
45,7,0,0,40,0
22,10,0,0,40,0
52,5,0,0,40,0
58,9,0,0,36,0
30,9,0,0,40,1
54,4,0,0,40,0
40,10,0,0,50,1
58,9,0,0,40,1
37,9,0,0,40,0
30,13,0,0,50,0
39,10,0,0,40,0
42,10,0,0,52,1
30,12,0,0,40,0
31,4,0,0,40,0
38,13,0,0,55,1
55,10,0,0,50,0
27,7,0,0,40,0
25,10,0,0,38,0
44,14,7688,0,40,1
56,13,0,0,50,0
42,10,0,0,40,0
36,9,0,0,40,0
47,9,0,0,40,1
27,13,0,0,50,0
35,9,0,0,40,0
42,15,0,0,60,1
29,13,0,0,72,0
57,10,0,0,50,1
49,12,0,0,45,0
20,9,0,0,20,0
72,6,0,0,12,0
33,13,0,0,20,0
46,11,0,0,40,0
39,10,0,0,25,0
27,13,0,0,40,0
34,13,0,0,35,0
49,12,0,0,30,0
30,10,0,0,40,0
40,13,0,0,60,0
30,3,0,0,40,0
32,1,0,0,40,0
45,9,0,0,40,0
28,9,0,0,40,0
33,14,7298,0,45,1
24,9,0,0,24,0
19,10,0,0,20,0
21,10,0,2001,40,0
45,7,0,0,16,0
43,14,0,0,40,0
51,3,0,0,40,0
56,9,0,0,35,0
22,9,0,0,40,0
40,9,0,0,40,0
33,10,0,0,40,0
62,15,0,0,16,0
51,7,0,0,40,0
41,13,0,0,40,1
35,12,0,0,40,1
39,9,0,0,40,0
34,12,0,0,50,0
78,13,0,0,3,0
41,9,0,0,40,0
19,9,0,0,16,0
53,9,0,0,40,1
42,9,0,0,35,0
28,9,0,0,40,0
28,13,0,0,45,0
46,9,0,0,65,1
46,9,0,0,40,0
66,4,0,0,50,0
30,9,5013,0,40,0
42,14,0,0,40,1
19,10,0,0,20,0
25,13,0,0,13,0
31,10,0,0,30,0
45,14,0,0,40,0
32,9,0,0,40,0
22,9,0,0,24,0
25,12,0,0,43,0
33,13,0,0,60,0
42,9,0,0,40,0
55,6,0,0,40,0
25,14,0,0,40,0
18,9,0,0,24,0
43,4,0,0,45,0
44,13,0,1902,40,1
48,10,0,0,40,0
49,14,0,0,45,1
40,6,0,0,40,0
46,10,0,0,70,1
38,13,0,1887,40,1
65,13,10605,0,20,1
34,9,0,0,40,0
51,9,0,0,40,0
27,9,0,0,70,0
37,16,14084,0,45,1
29,9,0,0,50,0
46,10,0,0,40,1
49,7,0,0,40,0
42,9,0,0,35,0
47,10,0,0,40,0
42,10,7688,0,45,1
26,13,0,0,70,1
53,11,0,0,40,0
39,12,0,0,40,1
29,10,0,0,40,0
34,10,0,0,50,1
43,10,0,0,44,0
47,9,0,0,40,1
19,9,0,0,25,0
52,10,14084,0,16,1
53,9,0,0,40,1
33,13,0,0,40,0
40,12,0,0,50,1
34,12,0,0,35,0
18,10,0,0,25,0
43,12,7688,0,50,1
30,15,0,1740,40,0
24,13,0,0,33,0
19,10,0,0,25,0
17,6,0,0,12,0
49,9,0,0,20,0
38,9,0,0,40,1
43,13,0,0,40,1
61,14,0,0,40,1
41,13,0,0,25,1
43,13,0,0,45,1
79,9,0,0,40,0
45,13,0,0,45,1
47,9,0,0,50,0
49,10,0,0,40,1
44,9,0,0,45,0
42,14,0,0,40,0
32,9,0,0,40,0
65,9,0,0,20,0
49,9,0,0,40,0
19,10,0,0,25,0
29,13,0,0,50,1
21,10,0,0,40,0
52,9,0,0,35,0
48,13,0,0,45,0
38,10,0,0,50,1
25,13,0,0,40,0
55,9,0,0,50,0
25,7,0,0,40,0
30,9,0,0,40,0
54,13,0,0,40,1
35,9,0,0,40,0
29,10,0,0,60,0
43,14,0,0,35,1
17,7,0,0,20,0
21,10,0,0,40,0
52,10,0,0,35,1
21,10,0,0,40,0
40,13,0,0,44,1
17,6,0,0,25,0
35,13,0,0,40,0
41,14,0,0,45,0
40,12,0,0,40,0
47,14,0,0,35,1
21,10,0,0,35,0
35,10,0,0,50,0
64,13,0,0,30,0
41,9,0,0,40,0
22,9,0,0,40,0
52,10,15024,0,50,1
40,9,0,0,55,0
18,10,0,0,16,0
57,8,0,0,40,0
65,9,0,0,30,0
50,9,0,0,50,1
25,10,0,0,25,0
38,5,0,0,54,0
36,10,0,0,40,1
41,13,0,0,40,0
51,9,0,0,40,0
45,12,0,0,40,0
28,9,0,0,35,0
17,7,0,0,20,0
44,9,0,0,52,1
66,6,3471,0,40,0
27,13,0,0,60,0
47,7,0,0,40,0
34,8,0,0,53,0
26,10,0,0,50,0
57,9,0,0,57,0
31,9,0,0,40,0
22,13,0,0,40,0
40,15,0,0,40,1
18,10,0,0,25,0
34,10,0,0,20,0
30,11,0,0,40,0
41,11,0,0,15,1
32,9,0,0,40,0
21,9,0,0,19,0
29,13,0,0,40,0
51,13,0,0,40,0
56,10,0,0,60,0
49,13,0,0,40,0
29,9,0,0,40,0
30,8,0,0,50,0
25,9,0,0,40,0
26,13,0,0,40,0
62,9,0,0,40,0
51,9,4386,0,40,1
61,9,0,0,4,0
42,11,0,0,45,0
40,12,0,0,40,0
19,9,0,0,30,0
22,10,0,0,40,0
39,10,0,0,40,0
54,6,0,0,36,0
28,10,0,0,40,0
63,9,0,0,24,0
51,10,0,0,40,1
19,9,0,0,40,0
61,9,0,0,40,0
19,10,0,0,35,0
40,13,0,0,40,1
38,9,3137,0,45,0
45,13,0,0,60,1
42,7,7430,0,50,1
22,10,0,0,35,0
31,13,0,0,60,1
31,1,0,0,35,0
59,6,0,0,40,0
35,13,0,0,50,0
31,4,0,0,40,0
23,10,0,0,35,0
72,10,0,0,3,0
45,9,0,0,50,0
20,10,0,0,40,0
44,10,0,0,50,0
39,9,0,0,56,0
37,10,0,0,40,0
43,10,0,0,40,0
62,6,0,0,30,0
40,10,0,1887,40,1
59,14,0,0,35,0
25,9,0,0,10,0
51,9,0,0,40,0
25,11,0,0,42,1
50,9,0,0,40,1
30,9,0,0,40,0
29,9,0,0,30,0
35,9,0,0,35,0
21,9,0,0,35,0
45,10,0,0,80,0
45,9,0,0,35,0
42,9,0,0,60,1
43,9,0,0,35,0
30,5,0,0,40,0
27,9,0,0,35,0
29,9,0,0,40,0
18,10,594,0,10,0
54,16,0,0,46,1
26,11,0,0,40,0
41,13,0,0,40,0
31,12,0,0,44,0
40,9,0,0,75,1
43,9,0,0,70,1
59,9,0,0,50,0
34,9,0,0,60,0
25,9,0,0,40,0
45,13,0,0,45,1
37,9,0,0,40,0
45,9,0,0,60,1
47,13,0,0,45,1
37,9,0,0,40,0
23,10,0,0,40,0
43,13,0,0,40,1
36,9,4101,0,40,0
46,14,0,0,50,1
44,14,7688,0,50,1
28,2,0,0,43,0
58,13,0,0,40,0
29,10,0,0,50,0
70,15,0,0,25,0
39,9,0,0,55,0
31,10,0,0,35,0
43,9,0,0,40,0
35,9,0,0,40,0
60,10,0,0,40,1
26,13,2463,0,35,0
49,7,0,0,6,0
25,15,0,0,8,0
32,13,0,0,70,0
39,9,0,0,40,0
34,16,0,0,50,1
27,9,0,0,37,0
27,10,0,0,40,0
55,9,0,0,40,0
21,9,0,0,20,0
33,13,0,0,50,0
22,10,0,0,40,0
35,9,0,0,40,0
27,13,0,0,40,0
26,14,0,0,40,0
62,13,0,0,7,0
22,10,0,0,35,0
61,9,0,0,40,0
28,9,0,0,40,1
65,4,0,0,24,0
58,14,0,0,27,0
42,10,0,0,28,0
25,10,0,0,40,0
24,9,0,0,50,0
41,11,0,0,40,0
39,10,0,0,40,1
70,13,0,0,40,0
24,10,0,0,20,0
37,9,0,0,40,0
25,14,0,0,20,0
34,7,0,0,40,0
23,4,0,0,40,0
45,13,7298,0,55,1
33,14,0,0,19,0
30,11,0,0,40,1
23,10,0,0,40,0
41,9,0,0,30,0
32,10,0,0,40,1
29,9,0,0,40,0
60,10,0,0,40,1
22,10,0,0,22,0
22,10,0,0,60,0
36,10,0,0,56,1
48,10,5178,0,40,1
55,9,0,0,40,0
24,11,0,0,40,0
57,13,0,0,40,1
41,7,0,0,55,0
48,9,0,0,40,0
22,10,0,0,40,0
58,13,0,0,45,1
36,9,0,0,50,0
50,10,0,0,40,0
23,13,0,0,50,0
48,9,0,0,40,0
66,10,5556,0,40,1
62,8,0,0,40,0
34,8,0,0,40,0
44,10,0,0,60,1
38,9,0,0,45,1
62,14,10520,0,33,1
41,10,0,0,24,0
30,13,0,0,50,0
20,8,0,0,35,0
36,13,0,0,60,1
74,10,0,0,18,0
18,7,0,0,15,0
36,9,0,0,70,0
36,7,0,0,50,0
28,13,0,0,20,0
22,10,0,0,24,0
33,9,0,0,40,0
65,9,0,0,40,0
42,9,0,0,60,0
28,9,0,0,40,0
51,14,0,0,50,1
46,9,0,0,40,0
25,13,0,0,55,0
27,12,0,0,40,0
47,14,7688,0,45,1
20,8,0,0,40,0
23,3,0,0,55,0
41,13,0,1887,40,1
39,13,0,1887,40,1
23,9,0,0,40,0
40,9,0,0,50,1
36,9,0,0,35,0
39,9,0,0,40,0
25,12,0,0,26,0
36,12,0,0,40,0
23,10,0,0,10,0
44,9,0,0,40,0
43,9,0,0,80,1
41,9,0,0,40,1
60,14,0,0,40,1
22,10,0,0,30,0
44,12,0,0,60,1
22,10,0,0,43,0
23,10,0,0,40,0
22,9,0,0,40,0
38,9,0,0,60,0
17,5,0,0,32,0
40,9,0,0,45,1
36,12,0,0,50,0
33,9,0,0,40,0
19,10,0,0,25,0
46,9,0,0,40,0
43,10,0,0,40,0
47,13,0,1977,40,1
47,14,0,0,40,0
22,10,0,0,35,0
38,9,0,0,55,1
23,9,0,0,40,0
43,10,0,0,40,0
30,10,0,0,40,0
32,10,0,1740,40,0
64,9,0,0,40,0
26,7,0,0,40,0
29,9,0,0,40,0
31,10,0,0,50,1
36,9,0,0,40,1
46,13,7298,0,65,1
54,10,0,0,40,0
47,10,0,0,40,0
46,9,0,0,40,0
22,10,0,0,13,0
35,9,0,0,40,1
40,10,0,0,35,1
51,9,0,0,40,0
28,12,0,0,45,1
42,9,0,0,40,0
53,9,0,0,40,0
24,9,0,0,40,0
28,10,0,0,40,0
68,9,0,0,7,0
27,9,0,0,48,0
32,10,0,0,45,0
57,13,7688,0,60,1
46,13,0,0,48,0
46,11,0,0,40,0
63,13,0,0,20,0
40,15,15024,0,40,1
39,9,0,0,40,0
59,9,0,0,40,0
31,14,0,0,45,0
20,9,0,0,40,0
35,13,0,0,40,0
18,7,0,0,40,0
49,14,7430,0,40,1
33,9,0,0,40,0
24,7,0,0,40,0
17,6,0,0,40,0
28,9,0,0,50,0
27,10,0,0,40,0
41,9,0,0,40,0
51,9,0,0,40,0
29,10,0,0,38,0
25,13,0,0,38,0
27,9,0,0,15,0
30,6,0,0,40,0
33,10,0,0,55,0
59,9,0,0,40,0
36,9,0,0,40,0
32,14,14084,0,40,1
36,10,0,0,60,0
23,10,0,0,40,0
60,9,0,0,25,0
43,6,0,0,40,0
42,10,0,0,41,0
38,14,0,0,40,0
29,9,0,0,40,0
50,10,0,0,40,0
70,9,0,0,5,0
27,9,0,0,40,0
23,13,0,0,40,0
19,10,0,0,20,0
39,13,15024,0,50,1
20,10,0,0,46,0
43,9,0,0,40,0
21,10,0,0,40,0
34,9,0,1573,40,0
18,7,0,0,40,0
20,10,0,0,25,0
54,10,0,0,45,1
44,15,0,0,45,1
66,10,0,0,24,1
74,9,0,0,16,0
30,13,0,0,72,0
52,14,6849,0,60,0
29,10,0,0,40,0
22,9,0,0,40,0
49,4,0,0,38,0
41,10,0,0,40,0
30,14,0,0,45,1
36,10,5178,0,50,1
40,6,0,0,40,0
45,15,25236,0,36,1
48,7,0,0,60,0
47,13,0,0,40,1
35,10,0,0,40,1
48,9,0,0,50,1
26,10,0,0,40,0
38,7,0,0,40,0
31,9,0,0,48,0
35,7,0,0,40,0
42,11,0,0,40,0
40,10,0,0,44,0
43,13,0,0,40,1
30,9,0,0,55,0
52,9,5013,0,40,0
53,9,0,0,40,0
27,9,0,1876,75,0
44,12,0,0,50,0
25,9,7298,0,40,1
27,13,0,0,40,0
51,13,0,0,40,1
55,10,0,0,40,0
36,10,0,0,40,0
90,2,0,0,40,0
19,9,0,0,20,0
39,9,0,0,35,0
42,14,8614,0,50,1
34,9,0,0,80,0
31,10,0,0,40,0
50,16,0,0,50,0
47,14,0,0,50,1
33,13,0,0,40,0
39,13,0,0,40,0
21,6,0,0,40,0
36,6,0,0,24,0
51,9,0,0,8,0
24,13,0,0,40,0
28,9,0,0,30,0
44,6,0,0,40,0
44,9,0,0,40,0
37,10,0,0,20,0
35,14,0,0,40,0
40,5,0,0,40,0
27,13,13550,0,46,1
37,11,0,0,37,1
45,10,0,0,40,0
29,9,0,0,40,0
26,9,0,0,50,0
54,10,0,0,45,1
51,14,0,1887,47,1
40,14,0,0,20,0
47,10,0,0,40,0
36,14,14084,0,40,1
31,9,0,0,40,1
66,10,0,0,28,0
